CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
187851718,09/26/2016,10:00:00,09/26/2016,10:05:00,09/26/2016,109,GRAND LARCENY,403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,68,INSIDE,CHURCH,,,983522,167581,40.626655819,-74.002624053,"(40.626655819, -74.002624053)"
602145436,09/26/2016,10:00:00,09/26/2016,14:00:00,09/26/2016,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,61,INSIDE,RESIDENCE-HOUSE,,,1001371,155010,40.592134494,-73.938355098,"(40.592134494, -73.938355098)"
937472686,09/26/2016,10:00:00,09/26/2016,16:30:00,09/26/2016,341,PETIT LARCENY,343,"LARCENY,PETIT OF BICYCLE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,84,FRONT OF,OTHER,,,987946,195312,40.702770532,-73.986671442,"(40.702770532, -73.986671442)"
897196748,09/26/2016,10:00:00,,,09/26/2016,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,43,,PUBLIC SCHOOL,,,1023920,241317,40.828954043,-73.856656138,"(40.828954043, -73.856656138)"
989713122,09/26/2016,08:04:00,,,09/26/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,44,,STREET,,,1005721,241697,40.830060023,-73.922415937,"(40.830060023, -73.922415937)"
650358269,09/26/2016,10:00:00,09/26/2016,10:03:00,09/26/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,101,INSIDE,RESIDENCE - APT. HOUSE,,,1043650,154675,40.591032489,-73.786127507,"(40.591032489, -73.786127507)"
949215744,09/26/2016,10:00:00,,,09/26/2016,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,70,INSIDE,RESIDENCE - APT. HOUSE,,,998374,171495,40.637387693,-73.949111695,"(40.637387693, -73.949111695)"
351815441,09/26/2016,09:58:00,,,09/26/2016,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,PUBLIC SCHOOL,,,1002653,249241,40.850773028,-73.933481459,"(40.850773028, -73.933481459)"
843535843,09/26/2016,09:55:00,09/26/2016,10:00:00,09/26/2016,107,BURGLARY,211,"BURGLARY,COMMERCIAL,DAY",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,45,FRONT OF,STREET,,,1031785,249890,40.852445562,-73.828175706,"(40.852445562, -73.828175706)"
808944800,09/26/2016,09:50:00,09/26/2016,09:50:00,09/26/2016,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,17,,TAXI (LIVERY LICENSED),,,989582,210170,40.743551318,-73.980759272,"(40.743551318, -73.980759272)"
460392278,09/26/2016,09:49:00,09/26/2016,09:49:00,09/26/2016,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,76,,STREET,,,984869,185103,40.674749917,-73.997769895,"(40.674749917, -73.997769895)"
246158611,09/26/2016,09:46:00,09/26/2016,09:50:00,09/26/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,84,,STREET,,,987388,192920,40.696205265,-73.988685041,"(40.696205265, -73.988685041)"
813214696,09/26/2016,09:40:00,09/26/2016,16:00:00,09/26/2016,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,101,FRONT OF,STREET,,,1053614,157672,40.599186245,-73.750220826,"(40.599186245, -73.750220826)"
492534493,09/26/2016,09:40:00,09/26/2016,22:00:00,09/26/2016,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,79,INSIDE,RESIDENCE - APT. HOUSE,,,999840,190667,40.690008127,-73.943785269,"(40.690008127, -73.943785269)"
613272582,09/26/2016,09:40:00,09/26/2016,20:10:00,09/26/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,41,FRONT OF,RESIDENCE - APT. HOUSE,,,1015723,236216,40.814986262,-73.886299423,"(40.814986262, -73.886299423)"
